taxon_name	genus_status	max_ma	min_ma
Glyphis	extant	23.03	15.97
Hemipristis	extant	23.03	15.97
Isurus	extant	23.03	15.97
Rhizoprionodon	extant	23.03	15.97
Sphyrna	extant	23.03	15.97
Carcharhinus	extant	23.03	15.97
Glyphis	extant	23.03	15.97
Isurus	extant	23.03	15.97
Alopias	extant	23.03	15.97
Carcharhinus	extant	23.03	15.97
Carcharias	extant	23.03	15.97
Carcharodon	extant	23.03	15.97
Galeocerdo	extant	23.03	15.97
Hemipristis	extant	23.03	15.97
Isurus	extant	23.03	15.97
Negaprion	extant	23.03	15.97
Rhizoprionodon	extant	23.03	15.97
Sphyrna	extant	23.03	15.97
Otodus	extinct	23.03	15.97
Dasyatis	extant	11.63	5.333
Carcharhinus	extant	23.03	15.97
Carcharodon	extant	23.03	15.97
Galeocerdo	extant	23.03	15.97
Hexanchus	extant	23.03	15.97
Isurus	extant	23.03	15.97
Negaprion	extant	23.03	15.97
Odontaspis	extant	23.03	15.97
Squatina	extant	23.03	15.97
Otodus	extinct	15.97	11.63
Otodus	extinct	15.97	11.63
Parotodus	extinct	15.97	11.63
Otodus	extinct	15.97	11.63
Otodus	extinct	15.97	11.63
Odontaspis	extant	23.03	20.44
Carcharhinus	extant	15.97	11.63
Hemipristis	extant	15.97	11.63
Carcharias	extant	23.03	15.97
Carcharodon	extant	23.03	15.97
Galeocerdo	extant	23.03	15.97
Araloselachus	extinct	23.03	15.97
Carcharhinus	extant	23.03	15.97
Centrophorus	extant	23.03	15.97
Mitsukurina	extant	23.03	15.97
Rhinoptera	extant	23.03	15.97
Galeus	extant	23.03	15.97
Notorynchus	extant	23.03	15.97
Carcharhinus	extant	11.63	5.333
Galeocerdo	extant	11.63	5.333
Hemipristis	extant	11.63	5.333
Negaprion	extant	11.63	5.333
Rhinoptera	extant	11.63	5.333
Sphyrna	extant	11.63	5.333
Aetobatus	extant	23.03	15.97
Myliobatis	extant	23.03	15.97
Squatina	extant	23.03	15.97
Etmopterus	extant	15.97	11.63
Isurus	extant	15.97	11.63
Scymnodon	extant	15.97	11.63
Araloselachus	extinct	23.03	11.63
Carcharhinus	extant	23.03	11.63
Carcharias	extant	23.03	11.63
Lamna	extant	23.03	11.63
Notorynchus	extant	23.03	11.63
Odontaspis	extant	23.03	11.63
Aetobatus	extant	15.97	11.63
Araloselachus	extinct	15.97	11.63
Carcharhinus	extant	15.97	11.63
Carcharias	extant	15.97	11.63
Galeocerdo	extant	15.97	11.63
Hemipristis	extant	15.97	11.63
Myliobatis	extant	15.97	11.63
Odontaspis	extant	15.97	11.63
Physogaleus	extinct	15.97	11.63
Rhinobatus	extant	15.97	11.63
Sphyrna	extant	15.97	11.63
Squalus	extant	15.97	11.63
Otodus	extinct	15.97	11.63
Myliobatis	extant	15.97	11.63
Scoliodon	extant	15.97	11.63
Carcharodon	extant	0.129	0.0117
Somniosus	extant	5.333	2.58
Aetomylaeus	extant	11.63	5.333
Carcharhinus	extant	11.63	5.333
Dasyatis	extant	11.63	5.333
Galeocerdo	extant	11.63	5.333
Hemipristis	extant	11.63	5.333
Mobula	extant	11.63	5.333
Negaprion	extant	11.63	5.333
Rhinoptera	extant	11.63	5.333
Sphyrna	extant	11.63	5.333
Carcharhinus	extant	15.97	11.63
Carcharias	extant	15.97	11.63
Chaenogaleus	extant	15.97	11.63
Galeocerdo	extant	15.97	11.63
Hemipristis	extant	15.97	11.63
Hexanchus	extant	15.97	11.63
Hypoprion	extinct	15.97	11.63
Isistius	extant	15.97	11.63
Isogomphodon	extant	15.97	11.63
Isurus	extant	15.97	11.63
Pachyscyllium	extinct	15.97	11.63
Paragaleus	extant	15.97	11.63
Pristiophorus	extant	15.97	11.63
Scyliorhinus	extant	15.97	11.63
Sphyrna	extant	15.97	11.63
Squatina	extant	15.97	11.63
Carcharhinus	extant	11.63	7.246
Carcharias	extant	11.63	7.246
Chaenogaleus	extant	11.63	7.246
Deania	extant	11.63	7.246
Galeocerdo	extant	11.63	7.246
Hemipristis	extant	11.63	7.246
Heptranchias	extant	11.63	7.246
Hexanchus	extant	11.63	7.246
Hypoprion	extinct	11.63	7.246
Isistius	extant	11.63	7.246
Isogomphodon	extant	11.63	7.246
Isurus	extant	11.63	7.246
Megascyliorhinus	extinct	11.63	7.246
Pachyscyllium	extinct	11.63	7.246
Paragaleus	extant	11.63	7.246
Pristiophorus	extant	11.63	7.246
Scyliorhinus	extant	11.63	7.246
Sphyrna	extant	11.63	7.246
Squatina	extant	11.63	7.246
Otodus	extinct	11.63	7.246
Centrophorus	extant	23.03	15.97
Deania	extant	23.03	15.97
Isistius	extant	23.03	15.97
Squaliolus	extant	23.03	15.97
Centrophorus	extant	23.03	15.97
Dalatias	extant	23.03	15.97
Deania	extant	23.03	15.97
Etmopterus	extant	23.03	15.97
Isistius	extant	23.03	15.97
Carcharhinus	extant	11.63	5.333
Paragaleus	extant	11.63	5.333
Rhizoprionodon	extant	11.63	5.333
Squaliolus	extant	15.97	11.63
Carcharhinus	extant	11.63	5.333
Mobula	extant	11.63	5.333
Rhynchobatus	extant	11.63	5.333
Sphyrna	extant	11.63	5.333
Carcharhinus	extant	11.63	5.333
Rhizoprionodon	extant	11.63	5.333
Megaselachus	extinct	15.97	11.63
Anomotodon	extinct	23.03	11.63
Otodus	extinct	23.03	11.63
Hypoprion	extinct	23.03	11.63
Araloselachus	extinct	5.333	3.6
Carcharhinus	extant	5.333	3.6
Carcharias	extant	5.333	3.6
Carcharodon	extant	5.333	3.6
Cetorhinus	extant	5.333	3.6
Dasyatis	extant	5.333	3.6
Galeocerdo	extant	5.333	3.6
Galeorhinus	extant	5.333	3.6
Isurus	extant	5.333	3.6
Lamna	extant	5.333	3.6
Notorynchus	extant	5.333	3.6
Raja	extant	5.333	3.6
Rhinoptera	extant	5.333	3.6
Scyliorhinus	extant	5.333	3.6
Squalus	extant	5.333	3.6
Squatina	extant	5.333	3.6
Araloselachus	extinct	11.63	5.333
Carcharias	extant	11.63	5.333
Carcharodon	extant	11.63	5.333
Cetorhinus	extant	11.63	5.333
Dasyatis	extant	11.63	5.333
Hexanchus	extant	11.63	5.333
Isurus	extant	11.63	5.333
Lamna	extant	11.63	5.333
Notorynchus	extant	11.63	5.333
Raja	extant	11.63	5.333
Rhinoptera	extant	11.63	5.333
Squalus	extant	11.63	5.333
Araloselachus	extinct	11.63	5.333
Carcharodon	extant	11.63	5.333
Galeocerdo	extant	11.63	5.333
Hexanchus	extant	11.63	5.333
Isurus	extant	11.63	5.333
Notorynchus	extant	11.63	5.333
Araloselachus	extinct	15.97	11.63
Carcharhinus	extant	15.97	11.63
Carcharias	extant	15.97	11.63
Carcharodon	extant	15.97	11.63
Cetorhinus	extant	15.97	11.63
Dasyatis	extant	15.97	11.63
Galeocerdo	extant	15.97	11.63
Isistius	extant	15.97	11.63
Isurus	extant	15.97	11.63
Manta	extant	15.97	11.63
Notorynchus	extant	15.97	11.63
Odontaspis	extant	15.97	11.63
Pachyscyllium	extinct	15.97	11.63
Parotodus	extinct	15.97	11.63
Raja	extant	15.97	11.63
Rhinoptera	extant	15.97	11.63
Sphyrna	extant	15.97	11.63
Squatina	extant	15.97	11.63
Otodus	extinct	15.97	11.63
Aetobatus	extant	15.97	11.63
Alopias	extant	15.97	11.63
Araloselachus	extinct	15.97	11.63
Carcharhinus	extant	15.97	11.63
Carcharias	extant	15.97	11.63
Carcharodon	extant	15.97	11.63
Carcharoides	extinct	15.97	11.63
Cetorhinus	extant	15.97	11.63
Dasyatis	extant	15.97	11.63
Galeocerdo	extant	15.97	11.63
Galeorhinus	extant	15.97	11.63
Isurus	extant	15.97	11.63
Myliobatis	extant	15.97	11.63
Notorynchus	extant	15.97	11.63
Odontaspis	extant	15.97	11.63
Pachyscyllium	extinct	15.97	11.63
Paragaleus	extant	15.97	11.63
Parotodus	extinct	15.97	11.63
Raja	extant	15.97	11.63
Rhinoptera	extant	15.97	11.63
Sphyrna	extant	15.97	11.63
Squalus	extant	15.97	11.63
Squatina	extant	15.97	11.63
Otodus	extinct	15.97	11.63
Aetobatus	extant	15.97	11.63
Araloselachus	extinct	15.97	11.63
Carcharhinus	extant	15.97	11.63
Carcharias	extant	15.97	11.63
Carcharodon	extant	15.97	11.63
Carcharoides	extinct	15.97	11.63
Dasyatis	extant	15.97	11.63
Galeocerdo	extant	15.97	11.63
Isurus	extant	15.97	11.63
Notorynchus	extant	15.97	11.63
Odontaspis	extant	15.97	11.63
Pachyscyllium	extinct	15.97	11.63
Parotodus	extinct	15.97	11.63
Procarcharodon	extinct	15.97	11.63
Raja	extant	15.97	11.63
Rhinoptera	extant	15.97	11.63
Sphyrna	extant	15.97	11.63
Squalus	extant	15.97	11.63
Squatina	extant	15.97	11.63
Carcharias	extant	2.58	0.0117
Myliobatis	extant	2.58	0.0117
Dasyatis	extant	11.63	5.333
Carcharodon	extant	3.6	2.58
Carcharodon	extant	3.6	2.58
Carcharhinus	extant	3.6	2.58
Dalatias	extant	3.6	2.58
Carcharhinus	extant	5.333	2.58
Isurus	extant	5.333	2.58
Carcharhinus	extant	5.333	2.58
Carcharhinus	extant	5.333	2.58
Rhinoptera	extant	11.63	5.333
Carcharhinus	extant	5.333	2.58
Galeocerdo	extant	5.333	2.58
Heterodontus	extant	5.333	2.58
Isurus	extant	5.333	2.58
Squatina	extant	5.333	2.58
Carcharhinus	extant	5.333	2.58
Isurus	extant	5.333	2.58
Abdounia	extinct	41.2	37.71
Acrosqualiolus	extinct	41.2	37.71
Apristurus	extant	41.2	37.71
Centrophorus	extant	41.2	37.71
Centroscymnus	extant	41.2	37.71
Chlamydoselachus	extant	41.2	37.71
Coupatezia	extinct	41.2	37.71
Dasyatis	extant	41.2	37.71
Echinorhinus	extant	41.2	37.71
Eosqualiolus	extinct	41.2	37.71
Eostegostoma	extinct	41.2	37.71
Galeorhinus	extant	41.2	37.71
Gymnura	extant	41.2	37.71
Hemiscyllium	extant	41.2	37.71
Heterodontus	extant	41.2	37.71
Hexanchus	extant	41.2	37.71
Iago	extant	41.2	37.71
Isistius	extant	41.2	37.71
Isurolamna	extinct	41.2	37.71
Mitsukurina	extant	41.2	37.71
Mustelus	extant	41.2	37.71
Orectoloboides	extinct	41.2	37.71
Paraetmopterus	extinct	41.2	37.71
Pararhincodon	extinct	41.2	37.71
Physogaleus	extinct	41.2	37.71
Premontreia	extinct	41.2	37.71
Pristiophorus	extant	41.2	37.71
Raja	extant	41.2	37.71
Scyliorhinus	extant	41.2	37.71
Scymnodalatias	extant	41.2	37.71
Somniosus	extant	41.2	37.71
Squaliodalatias	extinct	41.2	37.71
Squatina	extant	41.2	37.71
Striatolamia	extinct	41.2	37.71
Torpedo	extant	41.2	37.71
Triakis	extant	41.2	37.71
Galeocerdo	extant	56	47.8
Galeorhinus	extant	56	47.8
Isurus	extant	56	47.8
Myliobatis	extant	56	47.8
Heptranchias	extant	33.9	27.82
Carcharhinus	extant	3.6	2.58
Negaprion	extant	3.6	2.58
Pristis	extant	3.6	2.58
Alopias	extant	33.9	27.82
Cetorhinus	extant	33.9	27.82
Abdounia	extinct	47.8	37.71
Aetobatus	extant	47.8	37.71
Carcharias	extant	47.8	37.71
Cretolamna	extinct	47.8	37.71
Galeocerdo	extant	47.8	37.71
Galeorhinus	extant	47.8	37.71
Heterodontus	extant	47.8	37.71
Macrorhizodus	extinct	47.8	37.71
Myliobatis	extant	47.8	37.71
Nebrius	extant	47.8	37.71
Odontaspis	extant	47.8	37.71
Physogaleus	extinct	47.8	37.71
Pristis	extant	47.8	37.71
Pseudabdounia	extinct	47.8	37.71
Rhizoprionodon	extant	47.8	37.71
Sphyrna	extant	47.8	37.71
Striatolamia	extinct	47.8	37.71
Xiphodolamia	extinct	47.8	37.71
Otodus	extinct	47.8	37.71
Abdounia	extinct	37.71	33.9
Araloselachus	extinct	37.71	33.9
Brachycarcharias	extinct	37.71	33.9
Carcharocles	extinct	37.71	33.9
Galeocerdo	extant	37.71	33.9
Hemipristis	extant	37.71	33.9
Heterodontus	extant	37.71	33.9
Macrorhizodus	extinct	37.71	33.9
Myliobatis	extant	37.71	33.9
Nebrius	extant	37.71	33.9
Negaprion	extant	37.71	33.9
Pristis	extant	37.71	33.9
Propristis	extinct	37.71	33.9
Urolophus	extant	37.71	33.9
Eoplinthicus	extinct	37.71	33.9
Brachycarcharias	extinct	47.8	37.71
Carcharias	extant	47.8	37.71
Glueckmanotodus	extinct	59.2	56
Hypotodus	extinct	47.8	37.71
Jaekelotodus	extinct	37.71	33.9
Orpodon	extinct	61.6	59.2
Rhinoptera	extant	3.6	2.58
Striatolamia	extinct	56	47.8
Otodus	extinct	56	47.8
Otodus	extinct	37.71	33.9
Otodus	extinct	47.8	41.2
Otodus	extinct	47.8	37.71
Otodus	extinct	37.71	33.9
Otodus	extinct	41.2	37.71
Otodus	extinct	56	47.8
Carcharhinus	extant	3.6	1.8
Otodus	extinct	61.6	59.2
Otodus	extinct	61.6	59.2
Otodus	extinct	66	61.6
Otodus	extinct	47.8	37.71
Carcharhinus	extant	3.6	1.8
Sphyrna	extant	3.6	1.8
Macrorhizodus	extinct	33.9	27.82
Carcharias	extant	56	47.8
Coupatezia	extinct	56	47.8
Garabatis	extinct	56	47.8
Nebrius	extant	56	47.8
Odontorhytis	extinct	56	47.8
Ouledia	extinct	56	47.8
Physogaleus	extinct	56	47.8
Rhizoprionodon	extant	56	47.8
Rhynchobatus	extant	56	47.8
Squatiscyllium	extinct	56	47.8
Archaeomanta	extinct	56	47.8
Coupatezia	extinct	56	47.8
Ginglymostoma	extant	56	47.8
Myliobatis	extant	56	47.8
Odontorhytis	extinct	56	47.8
Ouledia	extinct	56	47.8
Physogaleus	extinct	56	47.8
Rhizoprionodon	extant	56	47.8
Serratolamna	extinct	56	47.8
Archaeomanta	extinct	56	47.8
Coupatezia	extinct	56	47.8
Myliobatis	extant	56	47.8
Ouledia	extinct	56	47.8
Rhinobatos	extant	56	47.8
Abdounia	extinct	56	47.8
Aetobatus	extant	56	47.8
Brachycarcharias	extinct	56	47.8
Burnhamia	extinct	56	47.8
Dasyatis	extant	56	47.8
Foumtizia	extinct	56	47.8
Galeorhinus	extant	56	47.8
Heterodontus	extant	56	47.8
Hypotodus	extinct	56	47.8
Isistius	extant	56	47.8
Isurolamna	extinct	56	47.8
Jaekelotodus	extinct	56	47.8
Microscyliorhinus	extinct	56	47.8
Myliobatis	extant	56	47.8
Nebrius	extant	56	47.8
Odontaspis	extant	56	47.8
Pachygaleus	extinct	56	47.8
Palaeohypotodus	extinct	56	47.8
Parotodus	extinct	56	47.8
Physogaleus	extinct	56	47.8
Premontreia	extinct	56	47.8
Pristis	extant	56	47.8
Pseudabdounia	extinct	56	47.8
Rhinobatos	extant	56	47.8
Rhizoprionodon	extant	56	47.8
Squalus	extant	56	47.8
Squatina	extant	56	47.8
Striatolamia	extinct	56	47.8
Sylvestrilamia	extinct	56	47.8
Otodus	extinct	56	47.8
Abdounia	extinct	56	47.8
Aetobatus	extant	56	47.8
Brachycarcharias	extinct	56	47.8
Burnhamia	extinct	56	47.8
Dasyatis	extant	56	47.8
Foumtizia	extinct	56	47.8
Galeorhinus	extant	56	47.8
