taxon_name	status	max_ma	min_ma
Rhynchobatus pristinus	extinct	20.44	13.82
Scyliorhinus joleaudi	extinct	20.44	13.82
Sphyrna integra	extinct	20.44	13.82
Sphyrna zygaena	extant	20.44	13.82
Taeniurops cavernosus	extinct	20.44	13.82
Otodus megalodon	extinct	20.44	13.82
Carcharhinus jhingrani	extinct	23.03	15.97
Carcharhinus macloti	extant	23.03	15.97
Carcharhinus tandoni	extinct	23.03	15.97
Carcharodon carcharias	extant	23.03	15.97
Glyphis gangeticus	extant	23.03	15.97
Glyphis pagoda	extinct	23.03	15.97
Hemipristis baripadensis	extinct	23.03	15.97
Isurus oxyrinchus	extant	23.03	15.97
Rhizoprionodon acutus	extant	23.03	15.97
Sphyrna lewini	extant	23.03	15.97
Carcharhinus jhingrani	extinct	23.03	15.97
Glyphis pagoda	extinct	23.03	15.97
Isurus oxyrinchus	extant	23.03	15.97
Alopias vulpinus	extant	23.03	15.97
Carcharhinus jhingrani	extinct	23.03	15.97
Carcharhinus macloti	extant	23.03	15.97
Carcharias taurus	extant	23.03	15.97
Carcharodon carcharias	extant	23.03	15.97
Galeocerdo aduncus	extinct	23.03	15.97
Galeocerdo cuvier	extant	23.03	15.97
Galeocerdo mayumbensis	extinct	23.03	15.97
Hemipristis serra	extinct	23.03	15.97
Isurus oxyrinchus	extant	23.03	15.97
Negaprion brevirostris	extant	23.03	15.97
Rhizoprionodon acutus	extant	23.03	15.97
Sphyrna lewini	extant	23.03	15.97
Otodus angustidens	extinct	23.03	15.97
Carcharodon hastalis	extinct	23.03	15.97
Galeocerdo aduncus	extinct	23.03	15.97
Isurus desori	extinct	23.03	15.97
Otodus megalodon	extinct	15.97	11.63
Otodus megalodon	extinct	15.97	11.63
Parotodus benedeni	extinct	15.97	11.63
Otodus megalodon	extinct	15.97	11.63
Otodus megalodon	extinct	15.97	11.63
Hemipristis serra	extinct	15.97	11.63
Carcharias contortidens	extinct	23.03	15.97
Carcharodon hastalis	extinct	23.03	15.97
Galeocerdo aduncus	extinct	23.03	15.97
Araloselachus cuspidatus	extinct	23.03	15.97
Carcharhinus priscus	extinct	23.03	15.97
Centrophorus granulosus	extant	23.03	15.97
Mitsukurina lineata	extinct	23.03	15.97
Notorynchus primigenius	extinct	23.03	15.97
Carcharhinus perezii	extinct	11.63	5.333
Galeocerdo cuvier	extant	11.63	5.333
Hemipristis serra	extinct	11.63	5.333
Negaprion eurybathrodon	extinct	11.63	5.333
Aetobatus arcuatus	extinct	23.03	15.97
Isurus planus	extinct	15.97	11.63
Scymnodon ichiharai	extinct	15.97	11.63
Araloselachus cuspidatus	extinct	23.03	11.63
Carcharhinus acanthodon	extinct	23.03	11.63
Carcharias contortidens	extinct	23.03	11.63
Notorynchus primigenius	extinct	23.03	11.63
Araloselachus cuspidatus	extinct	15.97	11.63
Carcharhinus acanthodon	extinct	15.97	11.63
Carcharias contortidens	extinct	15.97	11.63
Galeocerdo aduncus	extinct	15.97	11.63
Hemipristis serra	extinct	15.97	11.63
Physogaleus minor	extinct	15.97	11.63
Sphyrna integra	extinct	15.97	11.63
Otodus megalodon	extinct	15.97	11.63
Carcharodon carcharias	extant	0.129	0.0117
Somniosus microcephalus	extant	5.333	2.58
Carcharhinus albimarginatus	extant	11.63	5.333
Carcharhinus obscurus	extant	11.63	5.333
Carcharhinus perezii	extinct	11.63	5.333
Carcharhinus plumbeus	extant	11.63	5.333
Galeocerdo cuvier	extant	11.63	5.333
Hemipristis serra	extinct	11.63	5.333
Negaprion eurybathrodon	extinct	11.63	5.333
Sphyrna zygaena	extant	11.63	5.333
Carcharhinus acanthodon	extinct	15.97	11.63
Carcharhinus priscus	extinct	15.97	11.63
Carcharias taurus	extant	15.97	11.63
Chaenogaleus affinis	extinct	15.97	11.63
Galeocerdo aduncus	extinct	15.97	11.63
Hemipristis serra	extinct	15.97	11.63
Hexanchus griseus	extant	15.97	11.63
Isistius triangulus	extinct	15.97	11.63
Isogomphodon acuarius	extinct	15.97	11.63
Isurus oxyrinchus	extant	15.97	11.63
